model,method,safety_score,reject_rate,tool_safety,quality,clarity,overall
Llama-3.1-70B,Bare LLM,2.35,0.0,38.5,1.78,1.82,3.1
Llama-3.1-70B,SafeScientist,4.72,85.0,76.3,2.0,2.48,3.47
Llama-3.1-70B,SciTrace,4.87,92.0,91.2,2.12,2.62,3.68
Qwen2.5-72B,Bare LLM,2.38,0.0,40.2,1.8,1.85,3.15
Qwen2.5-72B,SafeScientist,4.75,87.0,78.1,2.02,2.5,3.5
Qwen2.5-72B,SciTrace,4.89,93.0,92.5,2.15,2.65,3.72
DeepSeek-V3,Bare LLM,2.4,2.0,42.0,1.82,1.87,3.18
DeepSeek-V3,SafeScientist,4.78,88.0,79.5,2.05,2.52,3.52
DeepSeek-V3,SciTrace,4.91,94.0,93.8,2.18,2.68,3.75
GPT-4o,Bare LLM,2.5,0.0,45.5,1.92,2.02,3.3
GPT-4o,SafeScientist,4.83,90.0,81.2,2.1,2.62,3.62
GPT-4o,SciTrace,4.93,95.0,94.7,2.22,2.75,3.82
